date,turnover,cost,cash_weight
2026-04-13,1.0,0.0015,0.0
2026-04-14,0.2034366184342301,0.0003051549276513452,0.0
2026-04-15,0.024435958074386727,3.665393711158009e-05,0.0
2026-04-16,0.006971733753945081,1.0457600630917622e-05,0.0
2026-04-17,0.01495317099709867,2.2429756495648003e-05,0.0
2026-04-20,0.009496668537156722,1.4245002805735082e-05,0.0
2026-04-21,0.011943451678756586,1.791517751813488e-05,0.0
2026-04-22,0.02264474497610347,3.3967117464155205e-05,0.0
2026-04-23,0.21260570322167827,0.0003189085548325174,0.0
2026-04-24,0.0059061723980947944,8.859258597142192e-06,0.0
2026-04-27,0.012136562515466173,1.820484377319926e-05,0.0
2026-04-28,0.023256307541832374,3.488446131274856e-05,0.0
2026-04-29,0.015314400085714094,2.2971600128571143e-05,0.0
2026-04-30,0.0231984378216262,3.47976567324393e-05,0.0
2026-05-06,0.008638082977587794,1.2957124466381691e-05,0.0
2026-05-07,0.21321885185983663,0.00031982827778975493,0.0
2026-05-08,0.0100068251421363,1.501023771320445e-05,0.0
2026-05-11,0.020343004114662278,3.051450617199342e-05,0.0
2026-05-12,0.2266988499068578,0.0003400482748602867,0.0
2026-05-13,0.020659111439537844,3.0988667159306765e-05,0.0
2026-05-14,0.018626248826820666,2.7939373240231e-05,0.0
2026-05-15,0.008172425109606057,1.2258637664409086e-05,0.0
2026-05-18,0.014822918063347859,2.2234377095021788e-05,0.0
2026-05-19,0.008449988160730212,1.2674982241095318e-05,0.0
2026-05-20,0.022063402326602644,3.3095103489903964e-05,0.0
2026-05-21,0.018146692829280664,2.7220039243920996e-05,0.0
2026-05-22,0.01592188893439847,2.3882833401597705e-05,0.0
2026-05-25,0.011331536039804094,1.699730405970614e-05,0.0
2026-05-26,0.011335102830133295,1.7002654245199944e-05,0.0
2026-05-27,0.20978454581553235,0.00031467681872329853,0.0
2026-05-28,0.20735658676434493,0.0003110348801465174,0.0
2026-05-29,0.03186992311070848,4.780488466606272e-05,0.0
2026-06-01,0.02126654166962444,3.189981250443666e-05,0.0
2026-06-02,0.017240617655193774,2.5860926482790663e-05,0.0
2026-06-03,0.007456025760816595,1.1184038641224894e-05,0.0
2026-06-04,0.01921696410464986,2.882544615697479e-05,0.0
2026-06-05,0.02253905377402221,3.380858066103332e-05,0.0
2026-06-08,0.21980841498501616,0.00032971262247752424,0.0
2026-06-09,0.016070263871663118,2.4105395807494677e-05,0.0
2026-06-10,0.02233319429219477,3.349979143829215e-05,0.0
2026-06-11,0.21629615683390863,0.00032444423525086297,0.0
2026-06-12,0.017669930009867343,2.6504895014801017e-05,0.0
2026-06-15,0.02307485277537158,3.461227916305737e-05,0.0
2026-06-16,0.2232127831968917,0.0003348191747953375,0.0
2026-06-17,0.010155770308027987,1.523365546204198e-05,0.0
2026-06-18,0.014174497597071609,2.1261746395607415e-05,0.0
2026-06-22,0.007971632442596327,1.1957448663894491e-05,0.0
2026-06-23,0.00825765203390938,1.238647805086407e-05,0.0
2026-06-24,0.013666127999893626,2.049919199984044e-05,0.0
2026-06-25,0.015509176107596112,2.326376416139417e-05,0.0
2026-06-26,0.2115630374077611,0.00031734455611164166,0.0
2026-06-29,0.030190529416615805,4.528579412492371e-05,0.0
2026-06-30,0.02335178837668847,3.502768256503271e-05,0.0
2026-07-01,0.006988164678887354,1.0482247018331031e-05,0.0
2026-07-02,0.20833830646787144,0.0003125074597018072,0.0
2026-07-03,0.20845367707633156,0.00031268051561449735,0.0
