train_loss,train_rank_loss,train_vol_loss,val_loss,val_rank_loss,val_vol_loss,learning_rate
0.2705448614433408,0.0970452915256222,0.32449907147868845,0.14784412627870386,0.09876281361688267,0.0036437389948828654,0.0005
0.14054328296333551,0.0908937924541533,0.0012128929502068786,0.13172834569757635,0.0979026650840586,0.000382043892221356,0.0005
0.12353392892206709,0.08494978149731953,0.0006323483230517013,0.13101673261685806,0.10376178066838872,0.00030367043853568083,0.0005
0.11473268270492554,0.08215349462504189,0.0005961756178294308,0.12219078500162471,0.09873950955542651,0.00028791130038867283,0.0005
0.1067291369351248,0.07818350040664275,0.0005540274984620434,0.12060932408679616,0.09977700493552467,0.00027213209118186074,0.0005
0.10088835734253128,0.07543462421745062,0.0005185729526904955,0.12032703039321033,0.10145874660123479,0.00028492705314420164,0.0005
0.0966605629461507,0.07356731267645955,0.0005283866570001313,0.1156870113177733,0.0983887335116213,0.0003252660072493282,0.0005
0.09249099685500066,0.07122650323435664,0.0006075607931658548,0.11904191090302034,0.1029276881705631,0.0003341422429498793,0.0005
0.08800246209527056,0.06829760836747785,0.0006337494032777613,0.11621140349995006,0.1011474450880831,0.000382063563764942,0.0005
0.08548664534464478,0.06721621658653021,0.0005618317669965714,0.11842449619011446,0.10419896380467848,0.00035767717054113746,0.0005
0.08281754516065121,0.06566097183773915,0.0006250737430188261,0.11749400943517685,0.1040551716631109,0.00033155414249367,0.0005
0.08000156609341502,0.06392801001978417,0.0005971560100685261,0.11770933256907896,0.10492491925304587,0.000354614452755248,0.0005
