date,turnover,cost,cash_weight
2026-04-13,1.0,0.0015,0.0
2026-04-20,0.4179723497498584,0.0006269585246247877,0.0
2026-04-27,0.8249043289150175,0.0012373564933725262,0.0
2026-05-07,0.6445459322377909,0.0009668188983566864,0.0
2026-05-14,0.8074460684766125,0.0012111691027149188,0.0
2026-05-21,0.6389667773800892,0.0009584501660701339,0.0
2026-05-28,0.6248034753047456,0.0009372052129571184,0.0
2026-06-04,0.4270745273948776,0.0006406117910923165,0.0
2026-06-11,0.8199793086325061,0.0012299689629487593,0.0
2026-06-18,0.6517309029264244,0.0009775963543896366,0.0
2026-06-26,0.6197087665846812,0.0009295631498770218,0.0
2026-07-03,0.41966242300770734,0.000629493634511561,0.0
2026-07-10,0.42028904026707303,0.0006304335604006096,0.0
2026-07-17,0.42794477036794204,0.000641917155551913,0.0
2026-07-24,0.25518162209901646,0.00038277243314852467,0.0
2026-07-31,1.0130772990972703,0.0015196159486459055,0.0
2026-08-07,1.0239873293088726,0.001535980993963309,0.0
2026-08-14,0.6417616873782803,0.0009626425310674205,0.0
2026-08-21,0.4197360566676732,0.0006296040850015098,0.0
2026-08-28,0.4227657695519963,0.0006341486543279944,0.0
2026-09-04,0.617960669525052,0.000926941004287578,0.0
2026-09-11,0.8072550036517564,0.0012108825054776347,0.0
