train_loss,train_rank_loss,train_vol_loss,val_loss,val_rank_loss,val_vol_loss,learning_rate
0.27077724908788997,0.09710024017840624,0.3250416752222615,0.14752812006256796,0.09866732900792902,0.0026969842993738976,0.0005
0.1410151159701248,0.09121719918524225,0.0014306310525474448,0.13348305225372314,0.09948176348751242,0.0005969890943643721,0.0005
0.12273356489216287,0.08391436841338873,0.0007842245304345852,0.12702260301871734,0.09947992387143048,0.0003732416688845578,0.0005
0.11465638938049476,0.0818477445282042,0.0006600044847194416,0.11990648169409145,0.0963019613515247,0.0003788291810038076,0.0005
0.1061776103451848,0.07746370571355025,0.000577199476538226,0.1176985576748848,0.09671310741793025,0.0003633876106257296,0.0005
0.10049469225729506,0.07489093641440074,0.0005298661368821437,0.12410422414541245,0.10511923242699016,0.00035520762189249086,0.0005
0.09536722752576073,0.07209838290388386,0.0005480544587044278,0.11696787449446591,0.09946102378043262,0.00037948221010579306,0.0005
0.09164504613727331,0.07020534761250019,0.0006192049083135013,0.11924616924741051,0.10307483442805031,0.0004415265019898388,0.0005
0.0880593719581763,0.06825805486490329,0.0006061825994644702,0.1167393380945379,0.10163265128027309,0.000383148571762087,0.0005
0.08501790758843224,0.0666475819889456,0.0005784571385447634,0.12149286066943948,0.10726375674659555,0.00045921806171959776,0.0005
0.08294586557894945,0.06573873742793997,0.0005598004724258013,0.11648384684866125,0.10304954309355129,0.00036365348999176854,0.0005
0.07913157064467669,0.0629944639125218,0.0005694242020884607,0.12064326351339166,0.10786504366181114,0.0003728012326808477,0.0005
0.07682224409654737,0.06158240845737358,0.0006212446066153158,0.12152984670617363,0.10929545489224521,0.0003763007407542318,0.0005
0.0759366462007165,0.061397931848963104,0.0005952900943763476,0.11516958746043118,0.10336093401367014,0.00047122624395838517,0.0005
0.07352101849392056,0.059747256726647414,0.0006334597443734916,0.11734633554111827,0.10607230798764662,0.0003870356224731288,0.0005
0.07135814203259845,0.05824431559691826,0.0006100390946812695,0.11739298023960808,0.10654715380885384,0.0003573325295953757,0.0005
0.06900633630963664,0.056520478101447225,0.0006175033910646258,0.1202557384967804,0.10979111831296574,0.000381774798204953,0.0005
0.06794988325176139,0.055984732850144305,0.0006187562388125419,0.12182512743906541,0.11169454997236078,0.0003682582689428025,0.0005
0.06681635184213519,0.05537487108570834,0.000618798964448312,0.12100037661465732,0.11121145500378175,0.00045500149082561785,0.0005
