date,long_short_return
2026-04-13,0.08222267186620083
2026-04-16,0.04048050552508561
2026-04-21,-0.020562933189102628
2026-04-24,0.003267832049451359
2026-04-29,-0.06196838260959314
2026-05-07,-0.09454963402462983
2026-05-12,-0.016716923386904635
2026-05-15,-0.04861574333436096
2026-05-20,-0.07992272141518517
2026-05-25,0.0046481473075035504
2026-05-28,0.04182123355619967
2026-06-02,-0.009939579582387817
2026-06-05,0.02399590038930296
2026-06-10,0.024480014178345295
2026-06-15,-0.036056416305609185
2026-06-18,-0.06845308023584402
2026-06-24,-0.036065058483612814
2026-06-29,0.010016196373427766
2026-07-02,0.10074856143131028
2026-07-07,-0.051054433399824406
2026-07-10,0.11466659626181952
2026-07-15,0.03794100297690073
2026-07-20,-0.024698361352657128
2026-07-23,0.05064357830727806
2026-07-28,0.07344080283325227
2026-07-31,-0.017915923837890608
2026-08-05,0.019949008690460346
2026-08-10,-0.00997123551211395
2026-08-13,-0.04566071221205481
2026-08-18,0.08707078807547812
2026-08-21,0.14677637478462952
2026-08-26,0.05437412339656341
2026-08-31,0.0198110553555337
2026-09-03,0.06878452188575579
2026-09-08,0.04900503474456116
2026-09-11,0.01798552688773858
